n,alpha,beta,rep,N_opt,theta22_hat,sigma2_hat,h_hat
100,5.0,2.0,95,1,3243.2804551979375,1.1703683347040907,0.1660661894622941
100,5.0,2.0,96,1,654.3113524079142,0.955684314282532,0.21964413412587724
100,5.0,2.0,97,1,18761.017221695354,1.0909430047750652,0.11527171240780006
100,5.0,2.0,98,1,3359.776709559631,0.8029108584794292,0.1529272898457373
100,5.0,2.0,99,2,322203.084070898,0.8892690041242742,0.06266056424047448
100,5.0,2.0,100,5,41655653.50949023,0.719575451417122,0.022714024306182985
100,0.5,0.5,1,2,117956.61469426697,0.7258464399783757,0.07355938660429735
100,0.5,0.5,2,2,98978.28572118473,1.0770133752571758,0.08244225127724711
100,0.5,0.5,3,2,42541.09161569844,0.8952129169820022,0.09406696907981069
100,0.5,0.5,4,2,83653.24637432527,0.9394857944317597,0.0829650334277068
100,0.5,0.5,5,2,46941.64473251231,1.0595943766966849,0.09539593684228138
100,0.5,0.5,6,1,3412.2372839413583,1.0565070627276678,0.16105723724914947
100,0.5,0.5,7,2,136584.08356829276,0.8655450070464332,0.07399315086345683
100,0.5,0.5,8,1,5198.063490514497,0.8594622550762783,0.14206616420018126
100,0.5,0.5,9,1,9620.441646376772,1.0489965972409663,0.13071620260405897
100,0.5,0.5,10,2,76254.45844102357,1.0430151697542804,0.08630156784545445
100,0.5,0.5,11,2,62112.26482791456,0.8864780216773183,0.08703856662282615
100,0.5,0.5,12,2,65421.575172840974,1.0693708258334642,0.08943243918745493
100,0.5,0.5,13,2,48950.90141303775,0.9811168929060784,0.09315488217125166
100,0.5,0.5,14,4,18058121.544789337,0.6672430855919564,0.02644453354551465
100,0.5,0.5,15,1,3523.172955609278,1.1447014812755998,0.16261674548835428
100,0.5,0.5,16,1,382.75208596710485,0.9538002270297644,0.24441146821915652
100,0.5,0.5,17,2,48995.35118007458,0.9545925271595179,0.09262884310822456
100,0.5,0.5,18,2,147496.16227732136,0.7052524247113879,0.06994012148942422
100,0.5,0.5,19,2,162375.2098434303,1.167416655722101,0.07588480820989799
